URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-especialistas-autorizado-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.3",EspecialistasAutorizadosR2BO,Especialistas Autorizados,"Estos son los especialistas autorizados para realizar informes anatomías patológicas","StructureDefinition/r2bo-rol-profesional-minsal","hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-estructuras-anatomicas-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.4",EstructuraAnatomicaVS,Set de Valores Para los Sitios del Cuerpo,"Set de valores para las distintas estructuras corporales de donde se obtienen las muestras","StructureDefinition/r2bo-muestra-biopsia","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-grado-diferenciacion-vs,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.5",GradoDiferenciacionVS,Set de Valores Para Grado de Diferenciación,"Grado de diferenciación tumoral según clasificación de la OMS","StructureDefinition/r2bo-extension-grado-diferenciacion","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-hallazgos-clinicos-cie10-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.6",HallazgosClinicosCIE10VS,ValueSet Para Hallazgos Clínicos,"Este ValueSet contiene los códigos que representan las neoplasias de la CIE 10","StructureDefinition/r2bo-solicitud-informe-apa","hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-hallazgos-clinicos-cie11-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.7",HallazgosClinicosCIE11VS,ValueSet Para Hallazgos Clínicos de la CIE 11 para neoplasias,"Este ValueSet contiene los códigos de la CIE 11 para hallazgos clínicos de neoplasias, que son utilizados en la definición de perfiles de recursos FHIR para la interoperabilidad en salud.","StructureDefinition/r2bo-solicitud-informe-apa","hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-morfologicos-cie11-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.8",MorfologicoCIE11VS,Set de Valores CIE-11 Códigos de Extensión Histopatológicos,"Set de valores utilizados para CIE-11 Códigos de Extensión Histopatológicos par ser usado en la morfología de neoplasias","StructureDefinition/r2bo-informe-biopsia","hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-morfologicosct-cieo-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.9",MorfologicoCIEOVS,Set de Valores Morfología,"Set de valores utilizados para morfologías en CIE-O 3.2 Morfológico","StructureDefinition/r2bo-informe-biopsia","THO"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-observaciones-NeoAdyuvancia-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.10",ObservacionNeoAdyuvanciaVS,Set de Valores de Resultados de Observación Post Neoadyuvancia,"Posibles valores para las observaciones realizadas en la evaluación post neoadyuvancia de un reporte de biopsia",,"LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-observaciones-biopsia-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.11",ObservacionesBiopsiaVS,Set de Valores para Observaciones Biopsia,"Observaciones realizadas durante el informe de biopsia","StructureDefinition/r2bo-resultados-reporte-biopsia","SCT,LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-procedimientos-biopsias-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.12",ProcedimientosBiopsiaVS,Set de Valores Para Procedimientos,"Set de valores utilizados para los procedimientos al momento de extraer muestras de tejido","StructureDefinition/r2bo-muestra-biopsia","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-profesional-autorizado-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.13",ProfesionalesAutorizadosR2BO,Profesionales Autorizados,"Estos son los profesionales autorizados para realizar informes o solicitudes de anatomías patológicas","StructureDefinition/r2bo-rol-profesional-minsal","hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-reporte-biopsia-vs,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.14",ReporteBiopsiaVS,Set de Valores de los Reportes de Biopsia,"Códigos de tipos de reportes de biopsias en Snomed y LOINC","StructureDefinition/r2bo-informe-biopsia","SCT,LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tipo-especimen-vs,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.15",TipoEspecimenVS,Set de Valores de los Tipos de Especimen,"Códigos de tipos de especimen en Snomed","StructureDefinition/r2bo-muestra-biopsia","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tipo-procedimientos-biopsias-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.16",TipoProcedimientosBiopsiaVS,Set de Valores Para Tipo de Procedimientos,"Set de valores utilizados para los tipos de procedimientos al momento de extraer muestras de tejido","StructureDefinition/r2bo-extension-tipo-procedimientos-biopsias","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tnm-categoria-metastasis-distante-patologico-vs,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.17",TNMCategoriaMetastasisDistantePatologicoVS,Set de Valores Categoría TNM Patológico Metastásico Distante,"Set de valores utilizados para la categoría TNM patológico metastásico distante","StructureDefinition/r2bo-tnm-categoria-metastasis-distante","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tnm-categoria-nodo-regional-patologico-vs,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.18",TNMCategoriaPatologicoNodosRegionalVS,Set de Valores Categoría TNM Patológico Nodos Regional,"Set de valores utilizados para la categoría TNM patológico Nodos Regional","StructureDefinition/r2bo-tnm-categoria-nodo-regional","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-tnm-categoria-tumor-primario-patologico-vs,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.19",TNMCategoriaTumorPrimarioPatologicoVS,Set de Valores Categoría TNM Patológico Tumor Primario,"Set de valores utilizados para la categoría TNM patológico tumor primaro","StructureDefinition/r2bo-tnm-categoria-tumor-primario","SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-topografica-cie11-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.20",TopograficaCIE11VS,Set de Valores para Topografía,"Set de valores utilizados para la topografía de la CIE-11 para Anatomía y topografía","StructureDefinition/r2bo-informe-biopsia","hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-topografica-cieo-VS,0.3.0-draft,draft,"2.16.840.1.113883.2.22.40.8.48.21",TopograficaCIEOVS,Set de Valores para Topografía según la CIE-O 3.2,"Set de valores utilizados para la topografía de la CIE-O 3.2 Tográfico","StructureDefinition/r2bo-informe-biopsia","THO"
